Title,Region,Type,Rating,Rank
花束般的恋爱,日本,"剧情,爱情",8.6,252
爱·回家,韩国,"剧情,家庭",9.0,253
贫民窟的百万富翁,英国,"剧情,爱情",8.6,254
刺猬的优雅,"法国,意大利",剧情,8.8,255
谁先爱上他的,中国台湾,"剧情,喜剧,同性",8.6,256
阳光普照,中国台湾,"剧情,犯罪,家庭",8.6,257
妇女参政论者,英国,"剧情,传记,历史",9.1,258
无言的山丘,中国台湾,"剧情,历史",9.2,259
爆裂鼓手,美国,"剧情,音乐",8.6,260
波西米亚狂想曲,"英国,美国","剧情,传记,同性,音乐",8.6,261
燃烧女子的肖像,法国,"剧情,爱情,同性",8.7,262
乱,"日本,法国","剧情,动作",8.9,263
海边的曼彻斯特,美国,"剧情,家庭",8.6,264
超感猎杀：完结特别篇,美国,"剧情,科幻,同性",9.2,265
阮玲玉,中国香港,"传记,剧情,爱情",8.7,266
白日梦想家,"美国,英国","剧情,喜剧,冒险",8.6,267
奇爱博士,"美国,英国","剧情,喜剧,战争",8.9,268
伦敦一家人,英国,"剧情,动画,家庭",8.9,269
战场上的快乐圣诞,"英国,新西兰,日本","剧情,战争,同性",8.8,270
卡萨布兰卡,美国,"剧情,爱情,战争",8.7,271
女人，四十,中国香港,"剧情,家庭",8.9,272
比海更深,日本,"剧情,家庭",8.7,273
天水围的日与夜,中国香港,"剧情,家庭",8.7,274
万箭穿心,中国大陆,"剧情,家庭",8.6,275
蓝风筝,"中国大陆,中国香港","剧情,历史",8.9,276
暗战,中国香港,"动作,剧情,犯罪",8.6,277
朗读者,"美国,德国","剧情,爱情",8.6,278
落叶归根,"中国大陆,中国香港","剧情,喜剧",8.6,279
蝙蝠侠：侠影之谜,"美国,英国","剧情,动作,科幻,犯罪,惊悚",8.6,280
坠入,"美国,南非,印度","剧情,喜剧,奇幻,冒险",8.8,281
赎罪,"英国,法国","剧情,悬疑,爱情,战争",8.6,282
独立时代,中国台湾,剧情,8.8,283
洞,"法国,意大利","犯罪,剧情,惊悚",9.2,284
猜火车,英国,"剧情,犯罪",8.6,285
